localite,delegation,gouvernorat,region,code_postal,aliases,confidence
SAYADA,SAYADA LAMTA BOU HAJAR,MONASTIR,CENTRE-EST,,SAYADA,HIGH
TEBOULBA,TEBOULBA,MONASTIR,CENTRE-EST,,TEBOULBA,HIGH
ZERAMDINE,ZERAMDINE,MONASTIR,CENTRE-EST,,ZERAMDINE,HIGH
AGAREB,AGAREB,SFAX,CENTRE-EST,,AGAREB,HIGH
BIR ALI BEN KHALIFA,BIR ALI BEN KHALIFA,SFAX,CENTRE-EST,,BIR ALI BEN KHALIFA,HIGH
CHIHIA,CHIHIA,SFAX,CENTRE-EST,,CHIHIA;CHIHYA,HIGH
EL AMRA,EL AMRA,SFAX,CENTRE-EST,,EL AMRA,HIGH
EL HENCHA,EL HENCHA,SFAX,CENTRE-EST,,EL HENCHA;HENCHA,HIGH
GREMDA,GREMDA,SFAX,CENTRE-EST,,GREMDA,HIGH
JEBENIANA,JEBENIANA,SFAX,CENTRE-EST,,JEBENIANA;JEBINIANA,HIGH
KERKENNAH,KERKENNAH,SFAX,CENTRE-EST,,KERKENNAH;KERKENA,HIGH
MAHRES,MAHRES,SFAX,CENTRE-EST,,MAHRES,HIGH
MENZEL CHAKER,MENZEL CHAKER,SFAX,CENTRE-EST,,MENZEL CHAKER;MZEL CHAKER,HIGH
SAKIET EDDAIER,SAKIET EDDAIER,SFAX,CENTRE-EST,,SAKIET EDDAIER;SKT EDDAIER;SAKIET DAIR,HIGH
SAKIET EZZIT,SAKIET EZZIT,SFAX,CENTRE-EST,,SAKIET EZZIT;SAKIT EZZIT,HIGH
ROUTE TENIOUR,SFAX,SFAX,CENTRE-EST,,RTE TENIOUR;ROUTE TENIOUR,HIGH
SALTANIA,SFAX,SFAX,CENTRE-EST,,SALTANIA,HIGH
SFAX,SFAX,SFAX,CENTRE-EST,,SFAX;SFAX VILLE;SFX;SFA;SAFX,HIGH
SKHIRA,SKHIRA,SFAX,CENTRE-EST,,SKHIRA,HIGH
AKOUDA,AKOUDA,SOUSSE,CENTRE-EST,,AKOUDA,HIGH
BOUFICHA,BOUFICHA,SOUSSE,CENTRE-EST,,BOUFICHA,HIGH
ENFIDHA,ENFIDHA,SOUSSE,CENTRE-EST,,ENFIDHA;ENFIDHA HAMMAMET,HIGH
HAMMAM SOUSSE,HAMMAM SOUSSE,SOUSSE,CENTRE-EST,,HAMMAM SOUSSE,HIGH
HERGLA,HERGLA,SOUSSE,CENTRE-EST,,HERGLA,HIGH
KALAA KEBIRA,KALAA KEBIRA,SOUSSE,CENTRE-EST,,KALAA KEBIRA;KALAA EL KEBIRA;K KBIRA;KALAA KOBRA,HIGH
KALAA SEGHIRA,KALAA SEGHIRA,SOUSSE,CENTRE-EST,,KALAA SEGHIRA;K SEGHIRA;KALAA ESSGUIRA,HIGH
KONDAR,KONDAR,SOUSSE,CENTRE-EST,,KONDAR,HIGH
KSIBET CHATT,KSIBET CHATT,SOUSSE,CENTRE-EST,,KSIBET CHATT;KSIBET;KSIBET SOUSSE,HIGH
MSAKEN,MSAKEN,SOUSSE,CENTRE-EST,,MSAKEN;M SAKEN;M SAKENE,HIGH
SIDI BOU ALI,SIDI BOU ALI,SOUSSE,CENTRE-EST,,SIDI BOU ALI,HIGH
SIDI EL HANI,SIDI EL HANI,SOUSSE,CENTRE-EST,,SIDI EL HANI,HIGH
SOUSSE,SOUSSE,SOUSSE,CENTRE-EST,,SOUSSE;SOUSSE VILLE,HIGH
BOU HAJLA,BOU HAJLA,KAIROUAN,CENTRE-OUEST,,BOU HAJLA,HIGH
CHERARDA,CHERARDA,KAIROUAN,CENTRE-OUEST,,CHERARDA;CHRARDA,HIGH
EL ALA,EL ALA,KAIROUAN,CENTRE-OUEST,,EL ALA,HIGH
HAFFOUZ,HAFFOUZ,KAIROUAN,CENTRE-OUEST,,HAFFOUZ,HIGH
HAJEB EL AYOUN,HAJEB EL AYOUN,KAIROUAN,CENTRE-OUEST,,HAJEB EL AYOUN,HIGH
KAIROUAN,KAIROUAN,KAIROUAN,CENTRE-OUEST,,KAIROUAN;KAIROUEN;KEROUAN,HIGH
NASRALLAH,NASRALLAH,KAIROUAN,CENTRE-OUEST,,NASRALLAH;NASRRALLAH,HIGH
EL WESLATIA,OUESLATIA,KAIROUAN,CENTRE-OUEST,,EL WESLATIA,HIGH
OUESLATIA,OUESLATIA,KAIROUAN,CENTRE-OUEST,,OUESLATIA,HIGH
SBIKHA,SBIKHA,KAIROUAN,CENTRE-OUEST,,SBIKHA,HIGH
EL AYOUN,EL AYOUN,KASSERINE,CENTRE-OUEST,,EL AYOUN;AYOUN,HIGH
FERIANA,FERIANA,KASSERINE,CENTRE-OUEST,,FERIANA,HIGH
FOUSSANA,FOUSSANA,KASSERINE,CENTRE-OUEST,,FOUSSANA,HIGH
HIDRA,HIDRA,KASSERINE,CENTRE-OUEST,,HIDRA;HAIDRA,HIGH
JEDLIANE,JEDLIANE,KASSERINE,CENTRE-OUEST,,JEDLIANE;JEDELIENNE,HIGH
KASSERINE,KASSERINE,KASSERINE,CENTRE-OUEST,,KASSERINE;KASSERIEN;KASSSERINE,HIGH
MAJEL BEL ABBES,MAJEL BEL ABBES,KASSERINE,CENTRE-OUEST,,MAJEL BEL ABBES,HIGH
SBEITLA,SBEITLA,KASSERINE,CENTRE-OUEST,,SBEITLA,HIGH
SBIBA,SBIBA,KASSERINE,CENTRE-OUEST,,SBIBA;SEBIBA,HIGH
THALA,THALA,KASSERINE,CENTRE-OUEST,,THALA,HIGH
BIR EL HAFEY,BIR EL HAFEY,SIDI BOUZID,CENTRE-OUEST,,BIR EL HAFEY,HIGH
CEBALET OULED ASKER,CEBALET OULED ASKER,SIDI BOUZID,CENTRE-OUEST,,CEBALET OULED ASKER,HIGH
JILMA,JILMA,SIDI BOUZID,CENTRE-OUEST,,JILMA;JELMA,HIGH
MEKNASSY,MEKNASSY,SIDI BOUZID,CENTRE-OUEST,,MEKNASSY,HIGH
MENZEL BOUZAIENE,MENZEL BOUZAIENE,SIDI BOUZID,CENTRE-OUEST,,MENZEL BOUZAIENE;MENZEL BOUZAIENNE,HIGH
MEZZOUNA,MEZZOUNA,SIDI BOUZID,CENTRE-OUEST,,MEZZOUNA;MAZZOUNA,HIGH
OULED HAFFOUZ,OULED HAFFOUZ,SIDI BOUZID,CENTRE-OUEST,,OULED HAFFOUZ;WELED HAFFOUZ,HIGH
REGUEB,REGUEB,SIDI BOUZID,CENTRE-OUEST,,REGUEB;RGUEB,HIGH
SIDI ALI BEN AOUN,SIDI ALI BEN AOUN,SIDI BOUZID,CENTRE-OUEST,,SIDI ALI BEN AOUN,HIGH
SIDI BOUZID,SIDI BOUZID,SIDI BOUZID,CENTRE-OUEST,,SIDI BOUZID;SIDI BOUSID;SIDI BOUZAID,HIGH
SOUK JEDID,SOUK JEDID,SIDI BOUZID,CENTRE-OUEST,,SOUK JEDID,HIGH
ARIANA,ARIANA,ARIANA,GRAND TUNIS,,ARIANA VILLE,HIGH
ARIANA,ARIANA VILLE,ARIANA,GRAND TUNIS,,ARIANA;ARIANA VILLE;ARI;ARIA;ARIAN,HIGH
ETTADHAMEN,ETTADHAMEN,ARIANA,GRAND TUNIS,,ETTADHAMEN;CITE ETTADHAMEN,HIGH
KALAAT EL ANDALOUS,KALAAT EL ANDALOUS,ARIANA,GRAND TUNIS,,KALAAT EL ANDALOUS;KALAAT LANDLOUS;KALAAT LANDALOUS,HIGH
LA SOUKRA,LA SOUKRA,ARIANA,GRAND TUNIS,,LA SOUKRA;SOUKRA,HIGH
MNIHLA,MNIHLA,ARIANA,GRAND TUNIS,,MNIHLA;MNIHLA VILLE;MNIH,HIGH
RAOUED,RAOUED,ARIANA,GRAND TUNIS,,RAOUED;RAO,HIGH
SIDI THABET,SIDI THABET,ARIANA,GRAND TUNIS,,SIDI THABET;SIDI THAB,HIGH
BEN AROUS,BEN AROUS,BEN AROUS,GRAND TUNIS,,BEN AROUS;BENAROUS;BENA ROUS;BEN ARUS,HIGH
BOU MHEL EL BASSATINE,BOU MHEL EL BASSATINE,BEN AROUS,GRAND TUNIS,,BOU MHEL;BOUMHEL;BOU MHEL EL BASSATINE,HIGH
EL MOUROUJ,EL MOUROUJ,BEN AROUS,GRAND TUNIS,,EL MOUROUJ;MOUROUJ;EL MOUR,HIGH
EZZAHRA,EZZAHRA,BEN AROUS,GRAND TUNIS,,EZZAHRA;EZ ZAHRA,HIGH
FOUCHANA,FOUCHANA,BEN AROUS,GRAND TUNIS,,FOUCHANA,HIGH
HAMMAM CHOTT,HAMMAM CHOTT,BEN AROUS,GRAND TUNIS,,HAMMAM CHOTT;HAMMAM CHATT,HIGH
HAMMAM LIF,HAMMAM LIF,BEN AROUS,GRAND TUNIS,,HAMMAM LIF,HIGH
MEDINA JEDIDA,MEDINA JEDIDA,BEN AROUS,GRAND TUNIS,,MEDINA JEDIDA;NOUVELLE MEDINA,HIGH
MEGRINE,MEGRINE,BEN AROUS,GRAND TUNIS,,MEGRINE,HIGH
MOHAMEDIA,MOHAMEDIA,BEN AROUS,GRAND TUNIS,,MOHAMEDIA;MOHAMADIA;MOHAMMEDIA,HIGH
MORNAG,MORNAG,BEN AROUS,GRAND TUNIS,,MORNAG,HIGH
RADES,RADES,BEN AROUS,GRAND TUNIS,,RADES,HIGH
BORJ EL AMRI,BORJ EL AMRI,MANOUBA,GRAND TUNIS,,BORJ EL AMRI,HIGH
DOUAR HICHER,DOUAR HICHER,MANOUBA,GRAND TUNIS,,DOUAR HICHER,HIGH
EL BATTAN,EL BATTAN,MANOUBA,GRAND TUNIS,,EL BATTAN,HIGH
JEDAIDA,JEDAIDA,MANOUBA,GRAND TUNIS,,JEDAIDA;JEDEIDA,HIGH
DENDEN,MANOUBA,MANOUBA,GRAND TUNIS,,DENDEN,HIGH
MANOUBA,MANOUBA,MANOUBA,GRAND TUNIS,,MANOUBA;MANNOUBA;LA MANNOUBA,HIGH
MORNAGUIA,MORNAGUIA,MANOUBA,GRAND TUNIS,,MORNAGUIA,HIGH
OUED ELLIL,OUED ELLIL,MANOUBA,GRAND TUNIS,,OUED ELLIL;OUED ELIL;OUED ELLILI,HIGH
TEBOURBA,TEBOURBA,MANOUBA,GRAND TUNIS,,TEBOURBA,HIGH
