code_postal,bureau_postal,localite,delegation,gouvernorat,region,aliases,source,confidence
1143,TOUNGAR,TOUNGAR,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
4135,AJIM,AJIM,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4135,BOU SMAIL,BOU SMAIL,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4135,CHAOUCH,CHAOUCH,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4135,CITE POPULAIRE,CITE POPULAIRE,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4125,EL GROO,EL GROO,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4155,EL GUEBLINE,EL GUEBLINE,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4135,GHANDRI,GHANDRI,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4155,GUELLALA,GUELLALA,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4135,HOUMET BEN HARZALLH,HOUMET BEN HARZALLH,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4135,HOUMET BOU HASTINE,HOUMET BOU HASTINE,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4155,HOUMET EL FAHMINE,HOUMET EL FAHMINE,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4135,HOUMET ISSA,HOUMET ISSA,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4125,JABIRA,JABIRA,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4135,KHENENSA,KHENENSA,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
