numero_permis,n_occurrences,is_suspect
23/74578,5,False
01/355791,5,False
14/88932,5,False
01/011111,5,False
02/214978,5,False
01/1236598,5,False
01/232966,5,False
02/185385,5,False
17/38187,5,False
03/143359,5,False
23/67509,5,False
23/16857,5,False
17/13768,5,False
02/81491,5,False
03/108807,5,False
24/98777,5,False
07/29600,5,False
01/451322,5,False
24/103761,5,False
23/107861,5,False
14/4813,5,False
01/394617,5,False
09/69248,5,False
02/31095,5,False
01/421574,5,False
09/52243,5,False
02/174187,5,False
23/120040,5,False
14/157149,5,False
03/83233,5,False
23/5205,5,False
0702952002,5,False
22/90241,5,False
01/3652874,5,False
01/353994,5,False
01/292495,5,False
01/130344,5,False
15/89913,5,False
01/351655,5,False
22/48543,5,False
22/65931,5,False
23/62495,5,False
02/174060,5,False
02/170696,5,False
14/61356,5,False
04/135175,5,False
24/73136,5,False
09/208534,5,False
01/232891,5,False
13/47451,5,False
03/68021,5,False
14/126237,5,False
11/21046,5,False
11/42506,5,False
03/177262,5,False
23/104974,5,False
04/50390,5,False
09/72038,5,False
01/206590,5,False
02/229001,5,False
22/9705,5,False
01/534549,5,False
00/361239,5,False
11/21540,5,False
01/478250,5,False
03/93049,5,False
24/60514,5,False
01/77986,5,False
23/216042,5,False
01/41509,5,False
02/82248,5,False
22/109552,5,False
21/18753,5,False
181013348,5,False
03/102451,5,False
17/28298,5,False
24/37972,5,False
02/128354,5,False
14/17888,5,False
04/70985,5,False
04/98202,5,False
7903912351,5,False
04/61602,5,False
24/20733,5,False
0/000000,5,False
01/449111,5,False
01/427732,5,False
01/555861,5,False
04/121928,5,False
01/553280,5,False
22/143634,5,False
02/202050,5,False
23/96642,5,False
01/427075,5,False
03/144352,5,False
24/76548,5,False
24/95147,5,False
23/90540,5,False
09/190441,5,False
01/294741,5,False
02/300103,5,False
00/436126,5,False
22/22038,5,False
01/314975,5,False
01/760161,5,False
04/156420,5,False
04/82642,5,False
0 000000,5,False
01/491554,5,False
02/245202,5,False
01/476492,5,False
23/139952,5,False
21/24326,5,False
01/83254,5,False
24/85427,5,False
04/160105,5,False
23/34479,5,False
01/36524,5,False
23/112029,5,False
14/45808,5,False
23/146028,5,False
23/137974,5,False
24/36400,5,False
09/152013,5,False
01/511614,5,False
05/49037,5,False
01/418167,5,False
01/36120,5,False
16/35504,5,False
01/287975,5,False
23/63656,5,False
24/100499,5,False
01/379127,5,False
63655856,5,False
01/218795,5,False
17/2863,5,False
24/109359,5,False
01/484974,5,False
23/63539,5,False
22/37669,5,False
01/440798,5,False
00/267939,5,False
02/251071,5,False
15/36915,5,False
14/13572,5,False
03/171013,5,False
01/4141,5,False
08/59020,5,False
02/178518,5,False
24/61632,5,False
23/51276,5,False
01/339157,5,False
00/425636,5,False
22/84331,5,False
01/385016,5,False
01/290956,5,False
01/359911,5,False
01/343451,5,False
23/54391,5,False
23/58060,5,False
24/57243,5,False
02/5711,5,False
00/305566,5,False
02/111686,5,False
01/452472,5,False
22/43403,5,False
02/222342,5,False
01/72898,5,False
03/168878,5,False
01/347745,5,False
01/493768,5,False
23/5086,5,False
23/88011,5,False
22/92554,5,False
23/106285,5,False
24/47439,5,False
23/145051,5,False
02/176653,5,False
2461716,5,False
03/204649,5,False
03/122715,5,False
24/71552,5,False
23/156925,5,False
09/182835,5,False
22/120251,5,False
01/189932,5,False
22/76235,5,False
23/61807,5,False
01/385465,5,False
03/100980,5,False
01/130429,5,False
22/4170,5,False
22/102645,5,False
03/516420,5,False
24/4070,5,False
09/96841,5,False
24/98016,5,False
00/419590,5,False
17/31226,5,False
02/232016,5,False
04/50335,5,False
24/16804,5,False
01/499689,5,False
03/143330,5,False
01/205281,5,False
00/203994,5,False
03/97057,5,False
02/104423,5,False
09/27371,5,False
23/31012,5,False
01/167137,5,False
03/161938,5,False
02/130598,5,False
21/205126,5,False
24/41752,5,False
01/473443,5,False
01/440431,5,False
02/311173,5,False
23/68544,5,False
14/151720,5,False
23/139935,5,False
24/60705,5,False
01/491188,5,False
01/357065,5,False
24/123338,5,False
01/323809,5,False
01/372489,5,False
01/297141,5,False
15/63824,5,False
22/183760,5,False
03/159825,5,False
03/71827,5,False
01/378184,5,False
23/195179,5,False
01/199431,5,False
12/39224,5,False
23/106969,5,False
23/1486,5,False
23/134090,5,False
02/133092,5,False
01/497210,5,False
23202724,5,False
01/443690,5,False
10/42410,5,False
21/14499,5,False
02/253735,5,False
02/2318,5,False
23/205509,5,False
23/86425,5,False
09/213669,5,False
01/504062,5,False
23/155144,5,False
01/390555,5,False
23/21266,5,False
19/20430,5,False
23/66668,5,False
10/81277,5,False
22/108103,5,False
01/420987,5,False
23/111171,5,False
40452643,5,False
03/69941,5,False
02/157284,5,False
22/56221,5,False
03/164148,5,False
01/334023,5,False
02/281677,5,False
23/133099,5,False
01/314764,5,False
01/89225,5,False
01/264457,5,False
02/184905,5,False
01/386807,5,False
01/294927,5,False
22/147122,5,False
23/30816,5,False
14/136013,5,False
23/131187,5,False
01/454829,5,False
11/58517,5,False
22/93015,5,False
01/306819,5,False
09/48123,5,False
23/52985,5,False
24/68628,5,False
02/195669,5,False
23/110497,5,False
14/166303,5,False
22/22407,5,False
00/384796,5,False
08/62632,5,False
11/13647,5,False
07/155490,5,False
17/12836,5,False
09/106343,5,False
15/16598,5,False
23/145324,5,False
24/23728,5,False
01/433923,5,False
23/85475,5,False
24/53672,5,False
23/74799,5,False
02/288506,5,False
01/199419,5,False
23/72067,5,False
0503381004,5,False
23/216592,5,False
22/113838,5,False
24/149070,5,False
24/103916,5,False
01/550765,5,False
23/199902,5,False
14/32448,5,False
02/51488,5,False
24/60106,5,False
21/50185,5,False
01/141857,5,False
03/108325,5,False
02/73459,5,False
00/469930,5,False
17/27977,5,False
01/439305,5,False
01/498148,5,False
23/145528,5,False
01/733760,5,False
02/210394,5,False
01/538252,5,False
19/12162,5,False
23/24853,5,False
23/4615,5,False
22/152714,5,False
03/41296,5,False
23/57441,5,False
00/453342,5,False
01/734390,5,False
01/379514,5,False
01/520012,5,False
